Konu,Soru,Iyi_Cevap,Kotu_Cevap
Teknoloji,Kriptografi tarihindeki ilk yaygın kullanılan ticari şifreleme standardı hangisidir?,"RSA algoritmasıdır. 1977'de Rivest, Shamir ve Adleman tarafından geliştirildi. Asimetrik şifrelemenin temelini oluşturur; herkese açık bir ""açık anahtar"" ve kişiye özel bir ""gizli anahtar"" kullanarak veriyi güvence altına alır.",Sanırım MS Paint'teki eski şifreleme efektidir. O da güzeldi.
Teknoloji,"Yapay zekada ""AlphaGo"" neyi yenerek tarihe geçti?","DeepMind'ın geliştirdiği AlphaGo programı, Mart 2016'da dünyanın en iyi Go oyuncularından Lee Sedol'u beş maçlık seride 4-1 yenerek insan üstünlüğünün kırıldığı an oldu. Go, satrançtan katbekat karmaşık bir strateji oyunudur.",Bilgisayar Satrancı'nı yendi tabii! Çok eskiden olmuştu.
Teknoloji,Blockchain teknolojisinin ilk pratik uygulaması hangi dijital varlıkla ortaya çıktı?,"Bitcoin'in 2009'daki lansmanı, blockchain'in gerçek dünya kullanımının başlangıcıdır. Satoshi Nakamoto'nun beyaz kitabında tanımlanan dağıtılmış defter teknolojisi, merkeziyetsiz kripto para transferlerini mümkün kıldı.",Tabii ki NFT'ler! Hepimiz önce onları biliyoruz sonuçta.
Teknoloji,"""World Wide Web"" (WWW) icadıyla Nobel Ödülü alan Tim Berners-Lee'nin asıl katkısı nedir?","Hypertext Transfer Protocol (HTTP), HTML (HyperText Markup Language) ve URL standartlarını yaratıp bunları özgürce kullanıma sunmasıdır. Böylece birbirine hiperlinklerle bağlı dokümanların erişilebilir küresel ağı oluştu.","Windows'u yarattı bence, o yüzden ödül aldı."
Teknoloji,"""Dijital Devrim"" olarak adlandırılan olay hangi buluşla gerçekleşti?","Mikroişlemcilerin 1971'de Intel 4004 modeliyle piyasaya sürülmesidir. Masaüstü bilgisayarların, cep telefonlarının ve akıllı cihazların yolunu açan entegre devre tabanlı işlemci çağının başlangıcıdır.",Akıllı saatlerin çıktığı zaman oldu galiba.
Teknoloji,"Ethernet kablolarındaki renk kodlaması (turuncu, mavi vb.) neden standartlaştı?","TIA/EIA TSB-67 standardı, kablonun kategori seviyesini belirten renkleri tanımlar (ör. Kat.5e: turuncu/gri). Bu, teknik özelliklerin hızlıca tanınmasını sağlayan endüstriyel bir anlaşmadır.","Şirket logolarını saklamak için kullanılır, mesela turuncu=Apple demek."
Teknoloji,"""Moore Yasası"" hangi gözlemi ifade eder?","Gordon Moore'un 1965'teki tahmini, entegre devre üzerindeki transistör sayısının yaklaşık iki yılda bir aynı maliyetle ikiye katılacağını öngörür. Yarıiletki endüstrisinin gelişim hızının kılavuzu oldu.","Facebook takipçi sayısının artışıymış sanırım, öyle duymuştum."
Teknoloji,Wi-Fi teknolojisinin adı nereden gelir?,"IEEE 802.11 standardını kullanan ilk ticari ürünlerde, radyo dalgası frekansının ""Gigahertz"" yerine telaffuz kolaylığı için ""GHz"" sesleriyle oynanarak türetilmiştir. Resmi olmayan isim zamanla benimsendi.",Uçaklardaki kablosuz internet hizmeti çünkü havada çalışıyor.
Teknoloji,"SSL/TLS protokollerindeki ""HTTPS"" öneki ne anlam taşır?","HTTP üzerinden eklenen ""Secure"" (Güvenli) modülünü belirtir. Sunucu ve istemci arasındaki iletişimi şifreleyen TLS protokolünü kullandığını gösterir, özellikle finansal işlemlerde kritiktir.","Harici Sabit Disk Paylaşımı demekmiş, ben hep karıştırıyordum."
Edebiyat,Sabahattin Ali'nin ünlü romanı *Kürk Mantolu Madonna*'nın açılış cümlesi nedir?,"""Beni affedin!"" cümlesiyle başlar. Bu cümle, Raif Efendi'nin geçmişteki pişmanlığını ve iç hesaplaşmasını doğrudan okuyucuya aktararak hikayenin tonunu belirler.","""Merhaba ben Ali!"" diye başlıyor sanırım. Çünkü karakterin adı Ali."
Edebiyat,Dostoyevski'nin *Suç ve Ceza*'sı hangi edebi türe örnektir?,Psikolojik gerilim ve varoluşçu felsefeyi harmanlayan bir **roman**dır. Raskolnikov'un suç sonrası yaşadığı psikolojik çöküş ve ahlaki ikilemler merkezdedir.,Bir bilimkurgu öyküsüdür çünkü zaman makinesiyle geçmişe gidip cinayet işlemeye çalışıyor.
Edebiyat,Orhan Pamuk'un Nobel Edebiyat Ödülü'nü alırken Türkiye Cumhuriyeti vatandaşı mıydı?,"Hayır, ödülü aldıktan sonra **İsveç vatandaşı** oldu. Kendisi törende ""Artık iki pasaportum var"" ifadesini kullanmıştır.",Tabii ki evet! Nobel almasaydı bile zaten Türk vatandaşıydı. Pasaportunun rengiyle ilgilenmiyoruz sonuçta.
Edebiyat,Realizm akımının en belirgin özelliği nedir?,"Toplumsal gerçekliği olduğu gibi, sansürsüz ve idealize edilmeden yansıtmasıdır. Sıradan insanların gündelik hayatlarını, sosyal sorunları ve dönemin koşullarını nesnel bir dille anlatmayı hedefler.",Kahramanların süper güçlerle dünyayı kurtarmasıdır. Gerçeküstü olaylarla doludur yani.
Edebiyat,William Shakespeare'in sonnetlerinin standart yapısı nasıldır?,"**14 satırlık**, iambik pentametre ölçüsüyle yazılır. Genellikle **abba cdcd efef gg** kafiye düzenine sahiptir ve son iki satır (""couplet"") beklenmedik bir dönüş veya vurguyla biter.",Hepsi serbest nazımdır ve genellikle 20 mısradan oluşur. Kafiyesi yoktur.
Edebiyat,Miguel de Cervantes'in *Don Kişot* adlı eserindeki ana karakterin orijinal mesleği neydi?,"Şövalye romanlarına aşırı düşkünlük duyan, toplumdan kopuk bir **kırsal Hidalgo** (küçük toprak sahibi bey). Eskiden çiftçi/tarlada çalışan yoksul köylüler için kullanılan bir terimdir.",Uzaylı avcılığı yapıyordu galiba. Kitapta uzay gemisi bile geçiyor çünkü modern edebiyat.
Edebiyat,Edgar Allan Poe'nun gotik edebiyattaki temsilciliğini sağlayan eserinin ismi nedir?,"**""Kuzgun"" (*The Raven*)** şiirdir. Ölüm, yas, delilik ve umutsuzluk temalarını; tekdüze ritim, karanlık atmosfer ve unutulmaz ""Nevermore"" (Artık asla) nakaratıyla işler.","*""Kayıp Nefes""* adlı romanıdır. Vampirlerin kaybolan nefesiyle ilgili bilim kurgu hikayesidir."
Edebiyat,James Joyce'un *Ulysses* adlı eseri neden uzun süre yasaklandı?,"**Cinsel içerikli diyaloglar, müstehcen sahneler ve geleneksel dini değerlere yönelik kışkırtıcı göndermeler** nedeniyle birçok ülkede sansüre uğradı. Yasakların kalkması onlarca yıl aldı.","Dünya savaşları arasında geçen bir romandır çünkü ""Ulises"" kelimesi Alman ordusuyla bağlantılıdır. Savaş propagandası olduğu için yasaklanmıştır."
Edebiyat,Yaşar Kemal'in *İnce Memed* romanının geçtiği efsanevi Anadolu köyünün adı nedir?,"**Rıza Köyü**. Roman, Toros Dağları eteklerindeki bu hayali köyde geçer ve Medeniyet Düşmanı İnce Memed'in Çakırcalıların zulmüne karşı başkaldırısını konu alır.",Hogwarts'tır tabii ki! Harry Potter'ın büyücü okulu orada gizlidir.
Edebiyat,Emily Brontë'nin *Uğultulu Tepeler*'indeki Heathcliff karakteri hangi hayvanla özdeşleştirilir?,"**Kurt** olarak tasvir edilir. Vahşi doğasını, intikam hırsını ve insanlıktan uzak duruşunu simgeleyen bu metafor, romandaki yıkıcı tutkunun vahşi yönünü vurgular.","Bir ponpoydu aslında. Sürekli tepelerde zıplayıp uğultu sesi çıkarıyordu, kitaptaki isim tesadüf değil."
Edebiyat,"Dünya edebiyatında ""Ulysses"" adlı epik romana sahip İrlandalı yazar kimdir?","James Joyce'dur. Modernist edebiyatın başyapıtlarından biri olan roman, 1904'teki tek bir günü anlatırken bilinç akışı tekniğini yoğun biçimde kullanır ve mitolojik göndermelerle doludur.","George Orwell'dir. Roman, II. Dünya Savaşı sonrası Dublin'deki politik olayları konu alır."
Edebiyat,"""Leyla ile Mecnun"" hangi Türk şairine aittir ve hangi dönemde yazılmıştır?","13. yüzyıl şairi Yunus Emre'ye aittir. Tasavvufi aşk temasını işleyen en ünlü Divan şiiri örneklerindendir, halk diliyle kaleme alınmıştır.",Fuzuli'nin eseridir ve 16. yüzyılda yazılmıştır. Osmanlı saray entrikalarını anlatan tarihi bir destondur.
Edebiyat,"""Suç ve Ceza""nın yazarı Fyodor Dostoyevski'nin Rus edebiyatındaki önemi nedir?",Psikolojik derinliği ve insan ruhunun karanlık yönlerini incelemesiyle modern psikolojik romandan etkilenmiştir. Raskolnikov karakteri üzerinden ahlak felsefesi sorgulanır.,"Bilimkurgu türünün öncüsüdür. Roman, gelecekteki robotik suçları ele alan distopik bir eserdir."
Edebiyat,"Nazım Hikmet'in ""Memleketimden İnsan Manzaraları"" eseri kaç bölümden oluşur ve teması nedir?","Dört bölümdür (İstanbul, Çeşme, Yol, Hapishane). Anadolu'nun sosyal gerçekliğini işçi sınıfı, yoksulluk ve devrimci duyarlılıkla resmeder.",Tek bölümlük bir masal kitabıdır. Tarihi kahramanların fantastik maceralarını anlatır.
Edebiyat,"William Shakespeare'in trajedilerinden ""Hamlet""te geçen meşhur ""olmak ya da olmamak"" monoloğu nerede geçer?",Hamlet'in Elsinore Kalesi'ndeki kulede yalnızken söylediği bir iç hesaplaşmadır. Varoluşsal bunalımını ifade eder.,Bir tiyatro sahnesinde Polonius tarafından dinlenirken söylenir. Komedi unsuru taşır.
Edebiyat,"Gabriel García Márquez'in ""Yüzyıllık Yalnızlık"" romanının türsel özelliği nedir?","Büyülü gerçekçiliğin başyapıtıdır. Gerçeküstü öğeler (uçan balıklar, yağmurdan ölümler) gerçek dünya betimlemeleriyle iç içedir.",Tarihsel bir belgedir. Kolomb öncesi Amerika'da yaşanan gerçek olayları kronolojik sırayla aktarır.
Edebiyat,Orhan Pamuk'un Nobel Edebiyat Ödülü'nü almasının gerekçesi olarak sıklıkla vurgulanan özellik nedir?,"İstanbul'un kimlik krizini, hafıza ve batı-doğu çatışmasını özgün metaforlarla işlemesidir (""Kar"", ""Benim Adım Kırmızı"").",Polisiye romanlarda dedektif karakterlerinin psikolojisini inceler. Suç mahalli betimlemelerinde uzmanlaşmıştır.
Edebiyat,"Dante Alighieri'nin ""İlahi Komedya""sının ilk cantos'unda (bölümü) onu nereye götürür?",Kaybettiği sevgili Beatrice'nin rehberliğinde cehenneme iner. Yapı katmanlı sembolizmle Hristiyan eskatolojisini yansıtır.,Antik Roma'daki gladyatör dövüşlerine götürür. Tarihi bir roman serisinin önsözüdür.
Edebiyat,Jane Austen'in toplumsal eleştirisi hangi odağı etrafında şekillenir?,"Regency dönemi İngiltere'sinde evlilik, sınıf farklılıkları ve kadınların ekonomik bağımlılığını ironiyle analiz eder (""Gurur ve Önyargı"").",Sanayi Devrimi'nde işçi hareketlerini anlatır. Fabrika sahiplerinin sömürüsüne odaklanır.
Edebiyat,"Kafka'nın ""Dönüşüm"" öyküsündeki Gregor Samsa'nın yaşadığı değişim neyi simgeler?","Kapitalizmde bireyin yabancılaşmasını, aile içi değer kaybını ve anlamsız bürokrasiyi böcek imgesiyle sembolize eder.",Tıbbi bir mutasyondur. Genetik deneylerin sonuçlarını bilim kurgu tarzında anlatır.
Psikoloji,"Psikolojinin babası olarak kabul edilen, yapısalcılık akımını temsil eden ve bilinçli deneyimi incelemeyi amaçlayan ilk laboratuvarı kuran bilim insanı kimdir?",Wilhelm Wundt'tur. Leipzig Üniversitesi'nde 1879'da dünyanın ilk psikoloji laboratuvarını kurdu ve yapısalcılık okulunun kurucusu oldu. Zihnin yapı taşlarını sistematik deneylerle inceleyerek psikolojiyi felsefeden ayırdı.,Sigmund Freud'dur. O serbest çağrışım tekniğini icat etti ve rüyaları analiz etti.
Psikoloji,"Davranışçı psikoloji hareketinin kurucu isimlerinden biri olan, koşullanma yoluyla öğrenmenin temellerini atan ve klasik koşullanma teorisini geliştiren Rus fizyolog kimdir?","Ivan Pavlov'dur. Köpekler üzerinde yaptığı deneylerde, nötr bir uyaranın (zil sesi), doğal bir uyaranın (yiyecek) oluşturduğu tepkiyi (salya salgılama) zamanla tek başına tetiklediğini gösterdi.","John B. Watson'dır. ""Davranışçılık Manifestosu""nu yayınladı ve Little Albert deneyini yaptı. Klasik koşullanma onun buluşudur."
Psikoloji,"Bilişsel psikolojinin yeniden canlanmasında önemli rol oynayan, insanların bilgiyi nasıl işlediğini, depoladığını ve geri çağırdığını araştıran ve kısa süreli belleğin kapasitesiyle ilgili ünlü çalışmaları bulunan Amerikalı psikolog kimdir?","George A. Miller'dır. ""İnsan Belleği"" adlı makalesinde, kısa süreli belleğin yaklaşık 7±2 birimlik kapasiteye sahip olduğunu öne sürdü (""Sihirli Sayı Yedi"").",Jean Piaget'dir. Çocukların bilişsel gelişim evrelerini ortaya koydu. Kısa süreli bellek üzerine çalışmadı.
Psikoloji,"Maslow'un ihtiyaçlar hiyerarşisinde, ait olma ve sevgi görme ihtiyacından sonra gelen, saygınlık kazanma ve tanınma arzusunu ifade eden temel ihtiyaç kategorisi hangisidir?","Saygınlık İhtiyaçları'dır (Esteem Needs). Bu düzeyde kişi kendini yetersiz hissetmez; başkaları tarafından saygı görmesi, başarılarının takdir edilmesi ve özgüven duyması gerekir.",Kendini Gerçekleştirme İhtiyacı'dır (Self-Actualization). Maslow'a göre en üst seviyedir; kişinin potansiyelini tam olarak gerçekleştirmesidir.
