question,answer
James her 6 saatte bir her biri 375 mg olan 2 Tylenol tablet alıyor.  Günde kaç mg alıyor?,"James her 6 saatte bir, yani günde 4 kez Tylenol tablet alıyor (24 saat / 6 saat = 4). Her seferinde 2 tablet alıyor, yani günlük toplamda 2 tablet x 4 kez = 8 tablet alıyor. Her bir tablet 375 mg olduğuna göre, günlük toplam doz 8 tablet x 375 mg = 3000 mg'dır."
"Javier Olimpik bir cirit atıcısı.  Son Olimpiyatlarda ciriti üç kez fırlattı.  İlk atışında, ciriti ikinci atışında attığının iki katı kadar uzağa attı, ancak üçüncü atışında attığının sadece yarısı kadar uzağa attı.  Üç atışının toplamı 1050 metre ise, ilk atışında ciriti metre cinsinden ne kadar uzağa fırlatmıştır?",İlk atışında ciriti 400 metre uzağa fırlatmıştır.
"Bir ailede 2 erkek ve 3 kız kardeş vardır. Tüm kız kardeşler aynı yaştadır, yani 16 yaşındadır. Erkek kardeşlerden biri 12 yaşında, yani ağabeyinin yaşının yarısı kadar. Tüm bu kardeşlerin toplam yaşı kaçtır?","Toplam yaşları hesaplamak için her bir kardeşin yaşlarını toplayalım:

3 kız kardeş: 3 * 16 = 48 yaş
12 yaşındaki erkek kardeş: 12 yaş

Diğer erkek kardeş, 12 yaşındaki kardeşinin iki katı yaşında olduğuna göre,
12 * 2 = 24 yaşındadır.

Şimdi hepsini toplayalım:
48 + 12 + 24 = 84

Tüm kardeşlerin toplam yaşı 84’tür."
"Linda bebek bakıcılığından saatte 10 dolar kazanıyor.  Gönderdiği her üniversite başvurusu için 25,00$ başvuru ücreti alınmaktadır.  Eğer 6 üniversiteye başvuruyorsa, başvuru ücretlerini karşılamak için kaç saat bebek bakıcılığı yapması gerekir?","Başvuru ücretlerini karşılamak için toplamda 6 x 25 = 150 dolar gerekmektedir. Bebek bakıcılığı yaparak bu miktarı kazanması için harcaması gereken süre ise 150 / 10 = 15 saattir. Linda, başvuru ücretlerini karşılamak için 15 saat bebek bakıcılığı yapmalıdır."
Laura parka altı kez gitmiştir.  Her seyahatinde parkta 2 saat geçirmiş ve parka gidip gelirken de 30 dakika yürümüştür.  Laura parka yaptığı geziler için harcadığı toplam sürenin yüzde kaçını parkta geçirmiştir?,"Laura'nın bir seferde parka gidip gelmesi ve parkta geçirdiği toplam süreyi hesaplayalım:

- Parkta geçirdiği süre: 2 saat
- Yolda geçirdiği süre: 30 dakika (gidiş) + 30 dakika (dönüş) = 1 saat

Bir seferde toplam süre: 2 saat (parktaki süre) + 1 saat (yolda geçen süre) = 3 saat.

Laura 6 kez parka gitmiştir, dolayısıyla toplam süre:

- 6 x 3 saat = 18 saat

Laura'nın parkta geçirdiği toplam süre:

- 6 x 2 saat = 12 saat

Laura'nın toplam süresinin yüzde kaçını parkta geçirdiğini bulmak için:

- (Parkta geçirilen süre / Toplam süre) x 100 = (12 saat / 18 saat) x 100 = 66.67%

Yani, Laura toplam süresinin yaklaşık %66.67'sini parkta geçirmiştir."
"Roxy'nin bahçesinde 7 çiçekli bitki var.  Çiçekli bitkilerinin iki katı kadar da meyveli bitkisi var.  Cumartesi günü fidanlığa gider ve 3 çiçekli bitki ile 2 meyveli bitki satın alır. Pazar günü, 1 çiçekli ve 4 meyveli bitkiyi komşusu Ronny'ye veriyor.   Bahçesinde kaç bitki kalmıştır?","Başlangıçta Roxy'nin bahçesinde 7 çiçekli bitki ve 2 katı kadar, yani 14 meyveli bitki vardır.

Cumartesi günü 3 çiçekli bitki ve 2 meyveli bitki satın alır, yani toplamda 7+3=10 çiçekli bitkisi ve 14+2=16 meyveli bitkisi olur.

Pazar günü 1 çiçekli bitki ve 4 meyveli bitki komşusu Ronny'ye verir. Bu durumda bitki sayısı 10-1=9 çiçekli bitki ve 16-4=12 meyveli bitki olur.

Toplamda bahçesinde 9 + 12 = 21 bitki kalmıştır."
Larry öğle yemeği için 5 dolar harcadı ve kardeşine 2 dolar verdi. Larry'nin şu anda 15 doları varsa başlangıçta ne kadar parası vardı?,Larry'nin başlangıçta 22 doları vardı.
"Marty ve Biff öğrenci konseyi başkanlığı için yarışıyorlardı. Adayların kampanyalarının nasıl gittiğini görmek için bir anket yapıldı. Ankete katılanların %45'i Biff'e oy vereceğini, %8'i ise kararsız olduğunu söyledi. Geri kalanlar ise Marty'ye oy vereceklerini söyledi. Eğer 200 kişi ile anket yapıldıysa, kaç kişi Marty'ye oy vereceğini söylemiştir?","Ankete katılan 200 kişinin %45'i Biff'e ve %8'i kararsız olduğunu söyledi.

Öncelikle Biff'e oy vereceğini söyleyen kişi sayısını hesaplayalım:
200 x 0.45 = 90 kişi

Kararsız olan kişi sayısını hesaplayalım:
200 x 0.08 = 16 kişi

Geri kalanlar Marty'ye oy vereceğini söyleyenlerdir. Biff ve kararsızların toplamını çıkaralım:
200 - 90 - 16 = 94 kişi

Dolayısıyla, 94 kişi Marty'ye oy vereceğini söylemiştir."
"Bir okul her yıl ağaç dikme etkinliği düzenlemektedir. Bu yıl 4. sınıflar toplam 30 ağaç dikerken 5. sınıflar bunun iki katını dikmişlerdir. 6. sınıflar, 5. sınıfların diktiği ağaç sayısının üç katından 30 daha az ağaç dikmiştir. Toplam kaç ağaç dikmişlerdir?","4. sınıflar 30 ağaç dikmiş.
5. sınıflar 30 ağaç × 2 = 60 ağaç dikmiş.
6. sınıflar 5. sınıfların diktiği ağaçların üç katından 30 daha az ağaç dikmiş, yani:
60 ağaç × 3 - 30 ağaç = 180 ağaç - 30 ağaç = 150 ağaç.

Toplamda:
30 ağaç + 60 ağaç + 150 ağaç = 240 ağaç dikilmiş."
"Kayla doğum günü partisini bir sinema salonunda veriyor. Sinemayı kiralamanın ücreti 20 kişilik bir parti için 125 dolar, artı her ilave konuk için 6 dolar. Kayla 25 sınıf arkadaşını, dans sınıfındaki 7 kızı ve 13 aile üyesini davet etti. Sadece 4 kişi gelemeyeceğini söyledi. Parti ne kadara mal olacak?","Kayla toplamda 25 + 7 + 13 - 4 = 41 kişi davet etti ve 4 kişi gelemeyeceğini söylediğinden, partiye 41 - 4 = 37 kişi katılacak.

Bu durumda, 20 kişilik bir parti için temel ücret 125 dolar. 37 - 20 = 17 kişi fazladan olduğu için, her ilave kişi için 6 dolar ödemesi gerekecek.

Fazladan kişi ücreti: 17 kişi * 6 dolar = 102 dolar.

Toplam maliyet: 125 dolar + 102 dolar = 227 dolar.

Parti toplamda 227 dolara mal olacak."
"Okyanusta altmış beş yunus varsa ve bu sayının üç katı, ağzı okyanusta olan bir nehirden katılıyorsa, okyanustaki toplam yunus sayısını hesaplayın.","Okyanusta altmış beş yunus vardır. Bunun üç katı, nehirden katılan yunus sayısıdır, yani 65 * 3 = 195 yunus. Toplam yunus sayısı ise 65 + 195 = 260 yunustur."
Lynne kediler hakkında 7 kitap ve güneş sistemi hakkında 2 kitap aldı. Ayrıca 3 dergi satın aldı. Her kitap 7$ ve her dergi 4$ tuttu. Lynne toplamda ne kadar harcadı?,"Lynne, kediler hakkında 7 kitap ve güneş sistemi hakkında 2 kitap, toplamda 9 kitap aldı. Her kitap 7$ tuttuğuna göre toplam kitap masrafı:

9 kitap * 7$ = 63$

Ayrıca 3 dergi aldı ve her dergi 4$ tuttuğuna göre toplam dergi masrafı:

3 dergi * 4$ = 12$

Toplam harcama:

63$ (kitaplar) + 12$ (dergiler) = 75$

Lynne toplamda 75$ harcadı."
"Bert'in bir bahçe dükkanı var. Ürünlerini bir depodan satın alıyor ve dükkanında 10$ daha fazlasına satıyor. Her satıştan, değerin %10'u kadar vergi ödemek zorunda. Bir gün bir müşteri dükkanına geldi ve 90 dolara bir fıçı satın aldı. Bert bu satıştan ne kadar para kazanmıştır?","Bert ürünü depodan kaça aldığı bilinmiyor, ancak satış fiyatından ne kadar kazandığı hesaplanabilir. Satış fiyatı belirli olduğu için, bu hesaplamaya odaklanalım.

Öncelikle, Bert'in ürünü 90 dolara sattığını biliyoruz. Bu demektir ki, bu miktardan vergi kesintisi yapmamız gerekiyor.

Vergi = 90$ × 10% = 9$

Vergi sonrası kalan net gelir = 90$ - 9$ = 81$

Şimdi, Bert'in ürünü 90 dolara sattıysa, maliyetine ek olarak 10$ kar koyduğunu biliyoruz.

Dolayısıyla, Bert'in ürünü alış fiyatı (maliyeti) = Satış fiyatı - Kar = 90$ - 10$ = 80$

Net gelirden maliyeti çıkararak Bert’in kârını bulabiliriz.

Kâr = 81$ - 80$ = 1$

Sonuç olarak, Bert bu satıştan 1 dolar para kazanmıştır."
"Alex bir bilim projesi üzerinde çalışmaktadır ve evinin yakınındaki bir parkta bulunan tüm bitkilerin fotoğraflarını çekmiştir. Her bir bitkiden kaç tane olduğunu bulmak istiyor, ancak 960 resmi var ve hepsini saymak uzun zaman alacak. Öğretmeni, bilgisayarda her resimde hangi bitkinin olduğunu otomatik olarak söyleyebilecek ve onun için sayabilecek bir program kullanmasını önerdi. Programın her bir resmi işlemesi 2 dakika sürecektir. Tüm resimleri işlemek kaç saat sürer?","960 resmin her birini işlemesi 2 dakika süreceğinden, toplamda 960 * 2 = 1920 dakika sürecektir. Bu sürenin saat cinsinden karşılığı ise 1920 / 60 = 32 saattir. Tüm resimleri işlemek 32 saat sürer."
Tommy 8 yeni kitap almak için yeterli para kazanmak istiyor. Her bir kitabın fiyatı 5 dolar. 13 doları olan Tommy'nin ne kadar para biriktirmesi gerekir?,"Tommy'nin her bir kitap 5 dolar olduğuna göre, 8 kitap almak için 8 * 5 = 40 dolara ihtiyacı var. Tommy'nin şu an 13 doları var. Bu durumda, 40 - 13 = 27 dolar daha biriktirmesi gerekiyor."
Tim'in 22 kutu sodası var. Jeff gelir ve Tim'den 6 kutu soda alır. Tim daha sonra gider ve elinde kalan kutuların yarısı kadar daha soda alır. Sonunda Tim'in kaç kutu sodası olur?,"Tim'in başlangıçta 22 kutu sodası var. Jeff 6 kutu soda alır, bu da 22 - 6 = 16 kutu yapar. Daha sonra Tim, elinde kalan 16 kutunun yarısı kadar, yani 8 kutu daha alır. Sonunda, Tim'in elinde 16 + 8 = 24 kutu soda olur."
"Bir tüccar 2 satın alma planı arasında seçim yapmak istemektedir: 5.000 $ değerinde mücevher veya 8.000 $ değerinde elektronik alet. Mali danışmanı, aynı ay içinde mücevher piyasasının %2,5, elektronik alet piyasasının ise %1,2 artacağını tahmin etmektedir. Eğer tüccar bir seçim yaparak bu ayın sonunda kârını maksimize etmek istiyorsa, bu ne kadar kâr olacaktır?","Mücevher satın alırsa:

5.000 $ * %2,5 = 125 $ kâr

Elektronik alet satın alırsa:

8.000 $ * %1,2 = 96 $ kâr

Bu nedenle, tüccar mücevher satın alarak kârını maksimize eder ve 125 $ kâr elde eder."
"Jenny ve Martha'nın paylaştığı dairedeki iki yatak odasının metrekaresi toplam 300 fit karedir. Jenny'nin yatak odası Martha'nınkinden 60 feet kare daha büyükse, Martha'nın yatak odası feet kare olarak ne kadar büyüktür?",Martha'nın yatak odası 120 fit karedir.
"Tayvan'daki Taipei 101 1,673 feet yüksekliğinde ve 101 katlıdır. Birinci kattan 100. kata kadar olan katların her birinin 16,5 feet yüksekliğe sahip olduğunu varsayarsak, 101. kat ne kadar yüksektir?","101. katın yüksekliği 1,673 feet toplam yüksekliğinden, ilk 100 katın yüksekliğini çıkararak bulunur. İlk 100 katın yüksekliği 100 katı 16.5 feet'tir, yani 1,650 feet'tir. Bu durumda:

1,673 feet - 1,650 feet = 23 feet

101. kat 23 feet yüksekliğindedir."
"Nora'nın annesi ona gidip çiftliklerinden portakal toplamasını söyler. Bir ağaçtan 80, başka bir ağaçtan 60 ve üçüncü ağaçtan 120 portakal toplar. Topladığı toplam portakal sayısı kaçtır?",Topladığı toplam portakal sayısı 80 + 60 + 120 = 260'tır.
"Randy'nin biraz parası vardı. Smith ona 200 dolar daha verdi. Randy daha sonra Sally'ye 1200 dolar verdi ve geri kalanı kendisinde kaldı. Randy'nin 2000 doları kaldıysa, Randy'nin başlangıçta dolar cinsinden ne kadar parası vardı?",Randy'nin başlangıçta 3000 doları vardı.
İlk başta 10 kar tanesi vardı. Her 5 dakikada bir 4 kar tanesi daha yağdı. Kar tanesi sayısı 58'e ulaşana kadar kaç dakika geçti?,40 dakika geçti.
Henry 60 millik bisiklet yolculuğu sırasında iki kez mola verdi. İlk olarak 20 mil sonra durdu. İkinci durağı ise yolculuğun bitimine 15 mil kala oldu. Birinci ve ikinci durakları arasında kaç mil yol kat etmiştir?,"Henry, birinci durağından 20 mil sonrasında durdu. İkinci durağı ise yolculuğun bitimine 15 mil kala oldu. Yolculuk 60 mil sürdüğüne göre, ikinci durağına kadar 60 - 15 = 45 mil yol kat etti. Birinci duraktan ikinci durağa kadar ise 45 - 20 = 25 mil yol kat etmiştir. Bu nedenle, Henry birinci ve ikinci durakları arasında 25 mil yol kat etmiştir."
John patlamış mısır çuvallarını 4$'a alıyor ve 8$'a satıyor. 30 çuval satarak ne kadar kâr elde eder?,"John, her bir çuval başına 8$ - 4$ = 4$ kâr elde eder. 30 çuval satarak, 30 * 4$ = 120$ kâr elde eder."
"Aaron ve kardeşi Carson yemeğe gitmek için 40'ar dolar biriktirdi. Hesap toplam paralarının 3/4'ü kadardır. Daha sonra dondurma yemeye giderler. Her bir top 1,5 $ tutuyor ve birbirleriyle aynı miktarda alıyorlar. Eğer her biri 1$ bozuk para ile ayrıldıysa, her biri kaç top dondurma almıştır?",Her biri 4 top dondurma almıştır.
"Jack ve Jill, saati 5 dolar olan bir kulübeyi kiralamanın maliyetini paylaştılar. Eğer sekiz saatliğine kiralamışlarsa, her bir arkadaş ne kadar ödemiştir?","Kulübeyi sekiz saatliğine kiralamanın toplam maliyeti 5 dolar/saat * 8 saat = 40 dolardır. Bu maliyet iki kişi arasında paylaşıldığına göre, her biri 40 dolar / 2 = 20 dolar öder. Yani, her arkadaş 20 dolar ödemiştir."
"Ağaç sayısı avludaki taş sayısından üç kat daha fazladır. Ayrıca ağaçlarda, avludaki ağaç ve taş sayısının toplamının iki katı kadar kuş vardır. Taşların sayısı 40 ise, ağaçlarda kaç kuş vardır?","Taşların sayısı 40 olduğuna göre ağaçların sayısı bunun üç katı olacaktır, yani 3 * 40 = 120 ağaç vardır.

Ağaç ve taş sayısının toplamı:
120 ağaç + 40 taş = 160

Ağaçlardaki kuşların sayısı ise, bu toplamın iki katıdır:
2 * 160 = 320

Dolayısıyla, ağaçlarda 320 kuş vardır."
"Louise bir oyuncak mağazasında. Sepetinde her biri 10 dolar değerinde 28 oyuncak vardır. Kasaya giderken sepete 20 oyuncak ayı ekliyor. Louise'in cüzdanındaki 580$ tüm oyuncakların parasını ödemeye yetiyorsa, her bir oyuncak ayının fiyatı ne kadardır?",Her bir oyuncak ayısının fiyatı 6 dolardır.
Garajda 9 bisiklet ve 16 araba var. Garajda kaç tane tekerlek vardır?,"Garajda toplam 74 tekerlek vardır. (9 bisikletin her birinde 2 tekerlek, 16 arabanın her birinde 4 tekerlek)"
"Bob sebze bahçesi için yükseltilmiş yataklar inşa ediyor. Her bir yatak 2 fit yüksekliğinde, 2 fit genişliğinde ve 8 fit uzunluğunda olacak. Kenarlar 1 fit genişliğinde kalaslardan inşa edilecek. Bob keresteyi 8 fit uzunluğunda tahtalar halinde satın alırsa ve bunların bir kısmını ihtiyaç duyacağı daha kısa boylar için kesmeyi planlıyorsa, 10 yükseltilmiş yatak inşa etmek için kaç tane 8 fit uzunluğunda tahtaya ihtiyacı olacaktır?","Her bir yükseltilmiş yatak için gereken toplam tahta sayısını bulmamız gerekiyor:

1 yatak için:
- 2 fit yüksekliğinde 2 yan duvar: 2 adet 8 fit
- 2 fit yüksekliğinde 2 uç duvar: 2 adet 2 fit (8 fit tahtadan kesilecek 4 adet 2 fit parça çıkar)

Toplamda her bir yatak için:
- 4 adet 8 fit uzunluğunda tahta (2 adet yan duvar için, 2 adet uç duvar için kesilecek parçaların elde edilmesi dahil).

10 yatak için:
- 10 * 4 adet 8 fit tahtaya ihtiyacı olacak.

Bu da 40 adet 8 fit uzunluğunda tahta demektir."
"Ruiz iki saatte 120 kilo çikolata yapabiliyor. Marissa bir saatte Ruiz'in iki saatte yaptığının 3/4 katı kadar çikolata yapıyor. Bir günde 12 saat çalışmışlarsa, birlikte yaptıkları toplam çikolata kilosunu hesaplayın.","Ruiz bir saatte 60 kilo çikolata yapar (120 kilo / 2 saat). Marissa bir saatte 90 kilo çikolata yapar (120 kilo * 3/4).

İkisi birlikte bir saatte 150 kilo çikolata yapar (60 kilo + 90 kilo).

Bir günde 12 saat çalıştıklarında, birlikte toplam 1800 kilo çikolata yaparlar (150 kilo/saat * 12 saat)."
"Veronica'nın el feneri geceleri 1000 feet mesafeden görülebilecek kadar parlaktı.  Freddie'nin el feneri geceleri Veronica'nın el fenerinden üç kat daha uzak bir mesafeden görülebiliyordu ve Velma'nın el feneri geceleri 2000 feet mesafeden Freddie'nin el fenerinden 5 kat daha az bir mesafeden görülebiliyordu.  Veronica'nın ve Velma'nın el fenerleri yan yana konulup gece yakılırsa, Velma'nın el feneri Veronica'nınkine kıyasla metre cinsinden ne kadar daha uzaktan görülebilir?","Veronica'nın el feneri 1000 feet mesafeden görülebilir. Freddie'nin el feneri Veronica'nın el fenerinin üç katı mesafeden, yani \(3 \times 1000 = 3000\) feet mesafeden görülebilir. Velma'nın el feneri ise Freddie'nin el fenerinden 5 kat daha az mesafeden görülebilir. Yani 3000 - (5 \times 2000) = 1000 feet mesafeden görülebilir.

Ancak sorunun net konusu Velma'nın el fenerinin Freddie'nin el fenerinden 5 kat daha az mesafeden görüldüğüne göre bu durumda Velma'nın el fenerinin mesafesi 600 feet olur. Bu farkı metreye çevirmek için 1 feet'i 0.3048 metre olarak alırsak,

\(600 feet \times 0.3048 = 182.88\) metre.

Sonuç olarak, Velma'nın el feneri Veronica'nınkine kıyasla 182.88 metre daha uzaktan görülebilir."
"Evelyn'in ailesi geçen hafta 10 saat televizyon izlemiştir. Bir önceki hafta ise 8 saat televizyon izlemişlerdi. Gelecek hafta 12 saat televizyon izlerlerse, haftada ortalama kaç saat televizyon izlemiş olurlar?","Ortalama saat hesaplanırken toplam izlenen saatler, haftaların sayısına bölünür.

Toplam saat = 10 + 8 + 12 = 30 saat

Haftaların sayısı = 3

Ortalama saat = 30 / 3 = 10 saat

Evelyn'in ailesi haftada ortalama 10 saat televizyon izlemiş olacaktır."
"Gretchen, oturarak geçirdiğiniz her 90 dakika için 10 dakika yürümeniz gerektiğini okumuştu. Gretchen 6 saatini masa başında çalışarak geçiriyorsa, ne kadarını yürüyerek geçirecektir?","Gretchen, oturarak geçirdiği her 90 dakika için 10 dakika yürümesi gerektiği kuralını takip ederse:

- 6 saat, 360 dakikadır.
- 360 dakikada, kaç 90 dakika olduğunu bulmalıyız.
  360 / 90 = 4

- Her 90 dakika için 10 dakika yürümesi gerektiğinden:
  4 * 10 = 40 dakika

Gretchen, 6 saat oturduğu için toplamda 40 dakika yürümelidir."
Jose 20.000 metrekare arazi satın aldı ve bunu dört kardeşiyle eşit olarak bölüşmesi gerekiyor. Jose'nin kardeşleriyle bölüştükten sonra metrekare cinsinden ne kadar arazisi olacaktır?,"Jose'nin 20.000 metrekare araziyi dört kardeşiyle eşit olarak bölüşmesi durumunda, her biri 20.000 metrekarenin beşte birini alır. Bu nedenle Jose'nin payına düşen arazi miktarı:

20.000 / 5 = 4.000 metrekare olacaktır."
"20 koyun, 10 inek ve 14 köpek taşıyan bir tekne alabora oldu.  Koyunlardan 3'ü boğuldu.  Koyunların iki katı kadar inek boğuldu.  Köpeklerin hepsi kıyıya ulaşmayı başardı.  Toplam kaç hayvan kıyıya ulaşabildi?",Kokptek 31 hayvan kıyıya ulaşabildi.
"Bir evi boyamak 20 dakika sürüyorsa, 3 saatte kaç ev boyayabilirsiniz?",3 saatte toplam 9 ev boyayabilirsiniz.
"Ryan, kadın ve erkek sayısının eşit olduğu bir ofiste çalışmaktadır.  Ryan, ofis katından çekilen 4 erkek ve 6 kadından oluşan bir toplantıya katılır.   Bu, ofis katında çalışan kadın sayısını %20 azaltır.  Ryan'ın ofisinde kaç kişi çalışmaktadır?",Ryan'ın ofisinde toplam 50 kişi çalışmaktadır.
"Grant matematik sınavında John'dan 10 puan daha yüksek puan aldı.  John, matematik testinden 45 puan alan Hunter'ın iki katı puan aldı.  Grant'ın test puanı kaçtı?",Grant 100 puan aldı.
"Alice, Erica'dan 5 yaş büyük olan Beth'den 7 yaş büyüktür. Erica 30 yaşındaysa, Alice ve Erica'nın yaşları arasındaki fark nedir?","Alice, Erica'dan 12 yaş büyüktür."
"Carver 45 yaşına yeni girdi, bu da onu oğlunun iki katından 5 yıl daha az yaşlı yapıyor.  Oğlu kaç yaşında, yıl olarak?",Oğlu 25 yaşında.
"Ittymangnark ve Kingnook, Alaska vahşi doğasının en kuzey bölgesinde yaşayan Eskimo bir çifttir.  Çocukları Oomyapeck ile birlikte yaşamaktadırlar.  Ittymangnark her gün üçünün o gün yiyebileceği kadar balık yakalar ve balığı üçü arasında eşit olarak paylaştırırlar.  Ancak balıkları bölüştükten sonra, tüm gözleri Oomyapeck'e verirler, o da iki gözü köpeğine verir ve geri kalanını kendisi yer.  Oomyapeck bir günde 22 göz yerse, her birine yemeleri için kaç balık verilir?","Her balıkta iki göz bulunur ve Oomyapeck'e 22 göz verildiğine göre, Oomyapeck 11 balık yemiş olur (22 göz / 2 göz = 11 balık).

Balıklar üç kişi arasında eşit olarak paylaştırılıyor. Oomyapeck 11 balık yediğine göre, Ittymangnark ve Kingnook da 11 balık yemiş olmalılar. Sonuç olarak, her biri bir günde 11 balık yemektedir."
"John iki gömlek satın alır. İlk gömlek ikinci gömlekten 6 dolar daha pahalıdır. İlk gömleğin fiyatı 15 dolarsa, gömleklerin toplam fiyatı dolar cinsinden ne kadardır?",21 dolardır.
"Conner'ın çölde sürdüğü bir kumul arabası var.  Düz kumda saatte 60 mil hızla gidebiliyor.  Yokuş aşağı inerken, düz kumda olduğundan saatte 12 mil daha hızlı yarışabiliyor.  Ve yokuş yukarı eğimli bir yolda yavaşça ilerlerken, düz kumda ilerlediğinden saatte 18 mil daha yavaş bir hızla ilerler.  Conner kumul arabasını üçte bir oranında düz kumda, üçte bir oranında yokuş yukarı ve üçte bir oranında yokuş aşağı sürüyorsa, saatte mil cinsinden ortalama hızı nedir?","Conner'ın düz kumda hızı 60 mil/saat.
Yokuş aşağı hızı: 60 + 12 = 72 mil/saat.
Yokuş yukarı hızı: 60 - 18 = 42 mil/saat.

Conner, kumul arabasını üçte bir oranında her bir tür yüzeyde sürüyor. Dolayısıyla, ortalama hızı:
(60 + 72 + 42) / 3 = 174 / 3 = 58 mil/saat."
Yasemin 2 litrelik dolu bir süt kabından kaç porsiyon 200 ml süt dökebilir?,Yasemin 2 litrelik (2000 ml) dolu bir süt kabından 200 ml süt dökerek toplamda 10 porsiyon çıkarabilir.
